iter	Logloss
0	0.5999904035
1	0.5326434809
2	0.4757951094
3	0.4350614118
4	0.401300368
5	0.3755787716
6	0.3536818201
7	0.3391746073
8	0.3210548074
9	0.3056375642
10	0.294214665
11	0.2846278086
12	0.2770123901
13	0.2678133285
14	0.2579471313
15	0.2514909068
16	0.2421735334
17	0.2372168296
18	0.2308260629
19	0.2257463362
20	0.2222723544
21	0.2188705642
22	0.2154334639
23	0.2116725856
24	0.2086196929
25	0.2056700434
26	0.2034705362
27	0.2007618117
28	0.1987502541
29	0.1968629535
30	0.1942177407
31	0.1911997013
32	0.1890501002
33	0.1873460449
34	0.1857842646
35	0.184288653
36	0.1807019615
37	0.1791574836
38	0.1772834843
39	0.1759132185
40	0.1733693004
41	0.1724886703
42	0.1710446431
43	0.1698298531
44	0.1684508717
45	0.167706899
46	0.1666085546
47	0.1653435447
48	0.1640125907
49	0.1627600882
50	0.1610401183
51	0.1595081863
52	0.158701703
53	0.1580898726
54	0.1570860442
55	0.155815708
56	0.1545907778
57	0.1533953964
58	0.1525050674
59	0.1519598712
60	0.1513116608
61	0.1505091245
62	0.1496776179
63	0.1489148802
64	0.1484547677
65	0.1479406213
66	0.1472776813
67	0.1463914589
68	0.1456309075
69	0.1451316327
70	0.144643645
71	0.1434278775
72	0.1428047261
73	0.1419970715
74	0.1413119597
75	0.1408033286
76	0.1404288526
77	0.1398649949
78	0.1394177866
79	0.1387074658
80	0.1373700226
81	0.1366317951
82	0.1359301816
83	0.1355035932
84	0.135119475
85	0.1343842182
86	0.133914783
87	0.1333471029
88	0.1326620645
89	0.1323878695
90	0.1317021675
91	0.1312757205
92	0.1307302076
93	0.1302281264
94	0.1298833502
95	0.129379064
96	0.1288806707
97	0.1281533732
98	0.1277160137
99	0.1274401768
100	0.1270814032
101	0.1266759264
102	0.1261851161
103	0.1259520135
104	0.125605234
105	0.1253030948
106	0.1251025966
107	0.1247569213
108	0.1244160786
109	0.1239006115
110	0.1235829307
111	0.1232132514
112	0.1226022142
113	0.1222210508
114	0.1219640699
115	0.1216237309
116	0.1214454563
117	0.1210740916
118	0.1207866052
119	0.1204398424
120	0.1199377559
121	0.1196950429
122	0.1193892767
123	0.1191048443
124	0.1189070681
125	0.1184921999
126	0.1181305865
127	0.1177195938
128	0.1174051717
129	0.1169337372
130	0.1168027789
131	0.1166299608
132	0.1163028424
133	0.1159428566
134	0.1155223311
135	0.1153490845
136	0.114978063
137	0.1146925028
138	0.1145469291
139	0.1141698549
140	0.1138797496
141	0.1136801007
142	0.1134969062
143	0.1132504231
144	0.1130436862
145	0.1127388549
146	0.1126157006
147	0.1124574364
148	0.1122422599
149	0.1120776894
150	0.1118281009
151	0.1116608938
152	0.1114601927
153	0.1111154889
154	0.110803261
155	0.1106199844
156	0.110401071
157	0.1101930733
158	0.1098694706
159	0.109719328
160	0.1095056682
161	0.1092553225
162	0.1090172093
163	0.1088514655
164	0.1086522259
165	0.1084723532
166	0.1082882057
167	0.108036336
168	0.1079881137
169	0.1077911116
170	0.1076507164
171	0.1075093078
172	0.1073647532
173	0.1071046217
174	0.1069240805
175	0.1066827994
176	0.1065652755
177	0.1064226466
178	0.1062571583
179	0.1060768378
180	0.1059541077
181	0.1057898077
182	0.1056827958
183	0.1054747422
184	0.1053206477
185	0.1051197812
186	0.1049967978
187	0.104851297
188	0.1047679174
189	0.104606475
190	0.1044241765
191	0.1042936686
192	0.1041392304
193	0.1040575127
194	0.103900184
195	0.1038022923
196	0.1036427578
197	0.1035382042
198	0.1033728182
199	0.1032361063
200	0.1031578965
201	0.1029747786
202	0.102868259
203	0.1027672793
204	0.1026188962
205	0.1024485958
206	0.1023886564
207	0.1022680179
208	0.1022020583
209	0.1021112365
210	0.101986151
211	0.1018331666
212	0.101666983
213	0.1015476177
214	0.1013554048
215	0.101250096
216	0.1011641314
217	0.1010685392
218	0.1009229542
219	0.1008631317
220	0.1007130929
221	0.1005192771
222	0.1003881193
223	0.1002871633
224	0.1002040322
225	0.1000694756
226	0.09997961094
227	0.09986438991
228	0.09978631867
229	0.09964240669
230	0.09943479732
231	0.09931321588
232	0.09914830152
233	0.09907751224
234	0.09891512163
235	0.0988420372
236	0.09873160107
237	0.09859256682
238	0.09841887352
239	0.09831872454
240	0.09824767945
241	0.09799398275
242	0.09791327834
243	0.09784605105
244	0.09774235442
245	0.09765259136
246	0.09758143507
247	0.09753287581
248	0.09741427467
249	0.09733702856
250	0.09724632701
251	0.09714728271
252	0.09703228698
253	0.09693615995
254	0.09686203612
255	0.09675124961
256	0.09663115743
257	0.09653148904
258	0.09643562811
259	0.09628414962
260	0.09622755852
261	0.09613168075
262	0.09604286547
263	0.09597167645
264	0.09588863894
265	0.09579122142
266	0.09569967994
267	0.09561575583
268	0.09550646582
269	0.0954309449
270	0.09528452034
271	0.09523447916
272	0.09506792783
273	0.09494960711
274	0.0948541522
275	0.09473104307
276	0.09467533294
277	0.0946231499
278	0.0945604421
279	0.0944922053
280	0.09435524412
281	0.09426096098
282	0.09417484944
283	0.09411045991
284	0.09401160371
285	0.09392662824
286	0.09385684121
287	0.0937791267
288	0.09373342694
289	0.09364166722
290	0.09354761227
291	0.09349508176
292	0.09340290976
293	0.0933573898
294	0.09327504862
295	0.0932133228
296	0.09307390118
297	0.09299189666
298	0.09289495533
299	0.09280995462
300	0.09273476669
301	0.09264267883
302	0.09257184554
303	0.09251989264
304	0.09246752477
305	0.09239888183
306	0.0923332736
307	0.09227471644
308	0.09216911495
309	0.0920671782
310	0.09198830207
311	0.09190476243
312	0.09176456733
313	0.09169880621
314	0.0916179322
315	0.09152249242
316	0.09143851773
317	0.091304621
318	0.09124985212
319	0.09118375118
320	0.09110896885
321	0.09104877319
322	0.09096448229
323	0.0908901361
324	0.0908058659
325	0.09072899839
326	0.09066746866
327	0.09063392754
328	0.09054901337
329	0.09050500183
330	0.0904352655
331	0.09034153328
332	0.09020451362
333	0.09018629722
334	0.09014446442
335	0.09005049275
336	0.08998933212
337	0.0898751317
338	0.08980219116
339	0.08973819912
340	0.08969638
341	0.08963257847
342	0.08954559672
343	0.08949381728
344	0.08945562047
345	0.08941671646
346	0.08930300747
347	0.08923901863
348	0.08921972925
349	0.08911946075
350	0.08906629838
351	0.08900046645
352	0.08890246698
353	0.0888171052
354	0.08865403875
355	0.08856917534
356	0.08850486296
357	0.08842956336
358	0.08837962011
359	0.08830484451
360	0.08827003097
361	0.08816204385
362	0.08807592859
363	0.08800395539
364	0.08794301394
365	0.08787352948
366	0.087675445
367	0.08755835513
368	0.0875123059
369	0.08745847129
370	0.08739076787
371	0.08734664099
372	0.08721539611
373	0.08715476882
374	0.08705587181
375	0.08700622239
376	0.08694794091
377	0.08689010357
378	0.08679738943
379	0.08661427642
380	0.08653917808
381	0.08645785065
382	0.08637779973
383	0.08624877384
384	0.08616888372
385	0.086099876
386	0.08602354987
387	0.08598530505
388	0.08595593675
389	0.08591644865
390	0.08582728559
391	0.08573432115
392	0.08570614393
393	0.08566567028
394	0.08556612
395	0.0854878789
396	0.08541519456
397	0.08536105247
398	0.08530411584
399	0.08522727411
400	0.0851855503
401	0.08515955825
402	0.08507533814
403	0.08495817346
404	0.08492388759
405	0.08480979231
406	0.08479647774
407	0.0847132506
408	0.08465429445
409	0.08458250806
410	0.08451014856
411	0.08445548607
412	0.08434740938
413	0.08428324571
414	0.08423392558
415	0.08412220456
416	0.08407420499
417	0.08400640804
418	0.08397815892
419	0.08385651217
420	0.08382400482
421	0.08378487728
422	0.08370393194
423	0.08360208634
424	0.08357339356
425	0.08352149243
